Countries,Ons_code,Coll_yr,Rd_usr_type,10_mcg,49_mcg,79_mcg,99_mcg,149_mcg,199_mcg,200_mcg,Samp_knwn,10pm_over,4am_over
England and Wales,E92000001,2021,Other vehicle drivers or riders,69.76744,6.97674,2.32558,0.0,4.65116,2.32558,13.95349,43,85.71429,8.33333
England and Wales,E92000001,2021,Pedestrians,58.26087,4.34783,3.47826,0.86957,5.21739,7.82609,20.0,115,64.70588,20.98765
England and Wales,E92000001,2021,Pedal cyclists,88.63636,6.81818,2.27273,0.0,0.0,2.27273,0.0,44,0.0,2.38095
England and Wales,E92000001,2021,Motorcycle riders,80.82902,4.66321,1.03627,1.03627,4.14508,2.07254,6.21762,193,62.5,9.03955
England and Wales,E92000001,2021,Car drivers,62.96296,7.77778,1.11111,2.22222,10.37037,5.92593,9.62963,270,68.75,15.53398
England and Wales,E92000001,2021,Vehicle passengers,50.0,6.45161,11.29032,3.22581,14.51613,9.67742,4.83871,62,55.0,21.42857
Scotland,S92000003,2021,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Scotland,S92000003,2021,Pedestrians,55.55556,5.55556,0.0,0.0,16.66667,5.55556,16.66667,18,57.14286,27.27273
Scotland,S92000003,2021,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2021,Motorcycle riders,80.95238,4.7619,0.0,0.0,0.0,0.0,14.28571,21,66.66667,5.55556
Scotland,S92000003,2021,Car drivers,95.83333,0.0,0.0,4.16667,0.0,0.0,0.0,24,0.0,4.54545
Scotland,S92000003,2021,Vehicle passengers,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
England and Wales,E92000001,2020,Other vehicle drivers or riders,74.07407,11.11111,0.0,0.0,7.40741,0.0,7.40741,27,50.0,4.7619
England and Wales,E92000001,2020,Pedestrians,43.26923,10.57692,2.88462,0.0,6.73077,13.46154,23.07692,104,65.51724,34.66667
England and Wales,E92000001,2020,Pedal cyclists,80.4878,9.7561,0.0,0.0,0.0,4.87805,4.87805,41,66.66667,5.26316
England and Wales,E92000001,2020,Motorcycle riders,76.58228,12.02532,1.89873,0.63291,2.53165,2.53165,3.79747,158,55.55556,6.71141
England and Wales,E92000001,2020,Car drivers,60.18957,11.84834,3.31754,0.94787,5.6872,5.6872,12.32227,211,47.16981,17.08861
England and Wales,E92000001,2020,Vehicle passengers,51.92308,13.46154,3.84615,3.84615,9.61538,7.69231,9.61538,52,55.0,15.625
Scotland,S92000003,2020,Other vehicle drivers or riders,75.0,0.0,0.0,0.0,25.0,0.0,0.0,4,0.0,25.0
Scotland,S92000003,2020,Pedestrians,71.42857,0.0,0.0,0.0,0.0,0.0,28.57143,7,33.33333,25.0
Scotland,S92000003,2020,Pedal cyclists,50.0,50.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Scotland,S92000003,2020,Motorcycle riders,88.88889,11.11111,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
Scotland,S92000003,2020,Car drivers,68.0,8.0,8.0,0.0,0.0,4.0,12.0,25,33.33333,6.25
Scotland,S92000003,2020,Vehicle passengers,75.0,0.0,0.0,0.0,0.0,12.5,12.5,8,66.66667,0.0
England and Wales,E92000001,2019,Other vehicle drivers or riders,73.68421,13.15789,0.0,0.0,2.63158,0.0,10.52632,38,30.0,7.14286
England and Wales,E92000001,2019,Pedestrians,50.625,5.0,2.5,1.875,9.375,10.625,20.0,160,74.0,27.27273
England and Wales,E92000001,2019,Pedal cyclists,65.51724,6.89655,3.44828,0.0,0.0,13.7931,10.34483,29,40.0,20.83333
England and Wales,E92000001,2019,Motorcycle riders,77.52809,9.55056,0.5618,1.1236,2.80899,3.37079,5.05618,178,47.36842,8.1761
England and Wales,E92000001,2019,Car drivers,67.07819,8.23045,1.64609,1.23457,5.34979,10.69959,5.76132,243,45.0,15.84699
England and Wales,E92000001,2019,Vehicle passengers,62.5,8.92857,7.14286,1.78571,3.57143,10.71429,5.35714,56,35.29412,15.38462
Scotland,S92000003,2019,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2019,Pedestrians,73.91304,4.34783,4.34783,0.0,0.0,0.0,17.3913,23,50.0,10.52632
Scotland,S92000003,2019,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Scotland,S92000003,2019,Motorcycle riders,73.68421,15.78947,0.0,0.0,0.0,0.0,10.52632,19,100.0,0.0
Scotland,S92000003,2019,Car drivers,78.94737,7.89474,5.26316,0.0,2.63158,5.26316,0.0,38,33.33333,3.125
Scotland,S92000003,2019,Vehicle passengers,57.14286,28.57143,0.0,0.0,14.28571,0.0,0.0,7,100.0,0.0
England and Wales,E92000001,2018,Other vehicle drivers or riders,77.14286,8.57143,2.85714,0.0,0.0,8.57143,2.85714,35,50.0,3.44828
England and Wales,E92000001,2018,Pedestrians,56.60377,7.54717,0.0,3.14465,3.77358,6.91824,22.01258,159,73.33333,21.05263
England and Wales,E92000001,2018,Pedal cyclists,68.75,21.875,0.0,0.0,0.0,6.25,3.125,32,50.0,3.57143
England and Wales,E92000001,2018,Motorcycle riders,79.12621,11.16505,2.91262,0.48544,2.91262,1.94175,1.45631,206,43.75,3.68421
England and Wales,E92000001,2018,Car drivers,65.17572,11.82109,1.91693,2.23642,3.51438,5.7508,9.58466,313,37.03704,15.51724
England and Wales,E92000001,2018,Vehicle passengers,67.14286,12.85714,2.85714,2.85714,4.28571,5.71429,4.28571,70,37.5,11.11111
Scotland,S92000003,2018,Other vehicle drivers or riders,80.0,0.0,0.0,0.0,0.0,0.0,20.0,5,0.0,20.0
Scotland,S92000003,2018,Pedestrians,56.25,0.0,6.25,6.25,0.0,6.25,25.0,16,66.66667,20.0
Scotland,S92000003,2018,Pedal cyclists,25.0,25.0,25.0,0.0,25.0,0.0,0.0,4,0.0,25.0
Scotland,S92000003,2018,Motorcycle riders,84.61538,7.69231,0.0,0.0,0.0,3.84615,3.84615,26,0.0,8.0
Scotland,S92000003,2018,Car drivers,76.19048,9.52381,2.38095,2.38095,0.0,4.7619,4.7619,42,25.0,8.82353
Scotland,S92000003,2018,Vehicle passengers,73.91304,17.3913,0.0,0.0,0.0,0.0,8.69565,23,16.66667,5.88235
England and Wales,E92000001,2017,Other vehicle drivers or riders,73.68421,2.63158,0.0,2.63158,2.63158,7.89474,10.52632,38,36.36364,18.51852
England and Wales,E92000001,2017,Pedestrians,53.26087,8.69565,1.63043,3.26087,6.52174,8.69565,17.93478,184,73.80952,25.35211
England and Wales,E92000001,2017,Pedal cyclists,85.0,5.0,2.5,0.0,2.5,2.5,2.5,40,25.0,5.55556
England and Wales,E92000001,2017,Motorcycle riders,79.32692,10.57692,0.96154,0.96154,1.92308,1.44231,4.80769,208,26.66667,7.77202
England and Wales,E92000001,2017,Car drivers,63.98714,8.68167,2.2508,3.21543,4.82315,7.3955,9.6463,311,50.72464,17.7686
England and Wales,E92000001,2017,Vehicle passengers,64.36782,9.1954,2.29885,1.14943,6.89655,5.74713,10.34483,87,36.0,19.35484
Scotland,S92000003,2017,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Scotland,S92000003,2017,Pedestrians,61.90476,4.7619,0.0,0.0,4.7619,4.7619,23.80952,21,100.0,12.5
Scotland,S92000003,2017,Pedal cyclists,66.66667,33.33333,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Scotland,S92000003,2017,Motorcycle riders,84.21053,10.52632,0.0,0.0,0.0,0.0,5.26316,19,0.0,5.55556
Scotland,S92000003,2017,Car drivers,90.0,2.5,0.0,0.0,2.5,0.0,5.0,40,33.33333,2.94118
Scotland,S92000003,2017,Vehicle passengers,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
England and Wales,E92000001,2016,Other vehicle drivers or riders,82.05128,5.12821,0.0,0.0,2.5641,0.0,10.25641,39,0.0,14.70588
England and Wales,E92000001,2016,Pedestrians,64.24242,4.84848,1.81818,1.81818,4.24242,7.87879,15.15152,165,63.88889,19.37984
England and Wales,E92000001,2016,Pedal cyclists,78.78788,9.09091,6.06061,0.0,0.0,0.0,6.06061,33,50.0,3.22581
England and Wales,E92000001,2016,Motorcycle riders,79.18782,8.62944,4.06091,0.50761,1.01523,4.06091,2.53807,197,21.05263,6.74157
England and Wales,E92000001,2016,Car drivers,70.56738,6.38298,1.77305,0.35461,5.31915,8.15603,7.44681,282,45.76271,14.79821
England and Wales,E92000001,2016,Vehicle passengers,72.58065,8.06452,1.6129,1.6129,3.22581,8.06452,4.83871,62,46.66667,8.51064
Scotland,S92000003,2016,Other vehicle drivers or riders,62.5,0.0,0.0,12.5,0.0,12.5,12.5,8,100.0,16.66667
Scotland,S92000003,2016,Pedestrians,72.22222,0.0,0.0,0.0,11.11111,11.11111,5.55556,18,80.0,7.69231
Scotland,S92000003,2016,Pedal cyclists,75.0,25.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2016,Motorcycle riders,90.90909,4.54545,0.0,0.0,0.0,0.0,4.54545,22,0.0,4.7619
Scotland,S92000003,2016,Car drivers,63.46154,11.53846,0.0,0.0,7.69231,5.76923,11.53846,52,66.66667,16.27907
Scotland,S92000003,2016,Vehicle passengers,78.57143,7.14286,0.0,0.0,7.14286,7.14286,0.0,14,50.0,0.0
England and Wales,E92000001,2015,Other vehicle drivers or riders,66.66667,15.15152,3.0303,3.0303,0.0,6.06061,6.06061,33,14.28571,15.38462
England and Wales,E92000001,2015,Pedestrians,57.93103,6.2069,4.13793,1.37931,5.51724,8.96552,15.86207,145,61.36364,18.81188
England and Wales,E92000001,2015,Pedal cyclists,78.125,6.25,3.125,0.0,0.0,6.25,6.25,32,40.0,7.40741
England and Wales,E92000001,2015,Motorcycle riders,82.2335,6.09137,2.03046,0.50761,2.53807,3.5533,3.04569,197,38.46154,7.6087
England and Wales,E92000001,2015,Car drivers,71.80328,9.18033,2.29508,3.27869,3.27869,2.95082,7.21311,305,38.15789,9.60699
England and Wales,E92000001,2015,Vehicle passengers,67.21311,11.47541,6.55738,0.0,4.91803,3.27869,6.55738,61,38.88889,4.65116
Scotland,S92000003,2015,Other vehicle drivers or riders,83.33333,8.33333,8.33333,0.0,0.0,0.0,0.0,12,0.0,0.0
Scotland,S92000003,2015,Pedestrians,50.0,6.25,0.0,6.25,6.25,6.25,25.0,16,80.0,27.27273
Scotland,S92000003,2015,Pedal cyclists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Scotland,S92000003,2015,Motorcycle riders,95.2381,4.7619,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0
Scotland,S92000003,2015,Car drivers,72.41379,0.0,0.0,3.44828,3.44828,10.34483,10.34483,29,40.0,25.0
Scotland,S92000003,2015,Vehicle passengers,90.90909,9.09091,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
England and Wales,E92000001,2014,Other vehicle drivers or riders,75.86207,17.24138,0.0,0.0,0.0,3.44828,3.44828,29,40.0,0.0
England and Wales,E92000001,2014,Pedestrians,57.63889,7.63889,2.08333,0.69444,4.16667,4.86111,22.91667,144,74.4186,14.85149
England and Wales,E92000001,2014,Pedal cyclists,85.71429,5.71429,0.0,0.0,2.85714,0.0,5.71429,35,0.0,8.57143
England and Wales,E92000001,2014,Motorcycle riders,76.84211,8.42105,4.73684,0.52632,3.15789,3.15789,3.15789,190,47.61905,5.32544
England and Wales,E92000001,2014,Car drivers,66.32997,7.74411,2.6936,0.6734,7.40741,6.06061,9.09091,297,52.30769,15.08621
England and Wales,E92000001,2014,Vehicle passengers,74.64789,2.8169,1.40845,5.6338,7.04225,5.6338,2.8169,71,29.62963,15.90909
Scotland,S92000003,2014,Other vehicle drivers or riders,71.42857,14.28571,0.0,0.0,0.0,0.0,14.28571,7,0.0,16.66667
Scotland,S92000003,2014,Pedestrians,42.85714,4.7619,0.0,0.0,4.7619,9.52381,38.09524,21,100.0,28.57143
Scotland,S92000003,2014,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2014,Motorcycle riders,94.73684,0.0,0.0,5.26316,0.0,0.0,0.0,19,0.0,5.26316
Scotland,S92000003,2014,Car drivers,81.81818,6.81818,0.0,0.0,6.81818,0.0,4.54545,44,50.0,7.5
Scotland,S92000003,2014,Vehicle passengers,94.11765,0.0,0.0,0.0,0.0,0.0,5.88235,17,0.0,6.25
England and Wales,E92000001,2013,Other vehicle drivers or riders,78.04878,17.07317,0.0,0.0,2.43902,0.0,2.43902,41,0.0,5.12821
England and Wales,E92000001,2013,Pedestrians,50.78125,3.90625,1.5625,1.5625,7.03125,7.8125,27.34375,128,64.28571,33.72093
England and Wales,E92000001,2013,Pedal cyclists,92.10526,0.0,2.63158,2.63158,0.0,2.63158,0.0,38,0.0,5.40541
England and Wales,E92000001,2013,Motorcycle riders,82.38342,7.77202,0.51813,0.0,2.59067,3.62694,3.10881,193,50.0,7.10383
England and Wales,E92000001,2013,Car drivers,65.77181,8.38926,2.68456,2.01342,3.02013,8.72483,9.39597,298,52.38095,15.31915
England and Wales,E92000001,2013,Vehicle passengers,66.66667,6.66667,4.0,1.33333,8.0,6.66667,6.66667,75,54.54545,9.43396
Scotland,S92000003,2013,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Scotland,S92000003,2013,Pedestrians,50.0,0.0,0.0,6.25,12.5,12.5,18.75,16,100.0,38.46154
Scotland,S92000003,2013,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Scotland,S92000003,2013,Motorcycle riders,84.61538,7.69231,7.69231,0.0,0.0,0.0,0.0,13,0.0,0.0
Scotland,S92000003,2013,Car drivers,67.74194,6.45161,3.22581,0.0,9.67742,0.0,12.90323,31,33.33333,20.0
Scotland,S92000003,2013,Vehicle passengers,66.66667,5.55556,0.0,0.0,11.11111,0.0,16.66667,18,83.33333,0.0
England and Wales,E92000001,2012,Other vehicle drivers or riders,78.78788,9.09091,3.0303,0.0,3.0303,0.0,6.06061,33,14.28571,7.69231
England and Wales,E92000001,2012,Pedestrians,49.29577,8.4507,0.70423,2.8169,4.22535,7.04225,27.46479,142,84.09091,22.44898
England and Wales,E92000001,2012,Pedal cyclists,76.31579,5.26316,2.63158,0.0,2.63158,2.63158,10.52632,38,50.0,13.88889
England and Wales,E92000001,2012,Motorcycle riders,83.59788,8.99471,1.0582,0.5291,4.2328,1.0582,0.5291,189,33.33333,4.51977
England and Wales,E92000001,2012,Car drivers,66.01942,6.79612,0.0,1.94175,8.09061,6.79612,10.35599,309,59.45946,17.02128
England and Wales,E92000001,2012,Vehicle passengers,61.11111,13.33333,4.44444,3.33333,6.66667,4.44444,6.66667,90,52.0,9.23077
Scotland,S92000003,2012,Other vehicle drivers or riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Scotland,S92000003,2012,Pedestrians,68.75,6.25,0.0,6.25,0.0,0.0,18.75,16,66.66667,15.38462
Scotland,S92000003,2012,Pedal cyclists,66.66667,33.33333,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Scotland,S92000003,2012,Motorcycle riders,85.71429,7.14286,0.0,0.0,0.0,0.0,7.14286,14,0.0,7.14286
Scotland,S92000003,2012,Car drivers,90.0,0.0,0.0,0.0,0.0,0.0,10.0,20,0.0,10.0
Scotland,S92000003,2012,Vehicle passengers,88.88889,0.0,0.0,0.0,11.11111,0.0,0.0,9,100.0,0.0
England and Wales,E92000001,2011,Other vehicle drivers or riders,79.54545,2.27273,2.27273,0.0,9.09091,4.54545,2.27273,44,66.66667,12.19512
England and Wales,E92000001,2011,Pedestrians,54.7619,5.95238,1.78571,1.78571,6.54762,6.54762,22.61905,168,72.97297,27.48092
England and Wales,E92000001,2011,Pedal cyclists,78.43137,1.96078,0.0,1.96078,7.84314,1.96078,7.84314,51,85.71429,9.09091
England and Wales,E92000001,2011,Motorcycle riders,79.46429,9.375,0.89286,0.0,2.67857,4.01786,3.57143,224,43.47826,6.46766
England and Wales,E92000001,2011,Car drivers,71.06742,7.58427,1.96629,1.1236,5.33708,5.61798,7.30337,356,44.08602,10.64639
England and Wales,E92000001,2011,Vehicle passengers,73.26733,3.9604,0.9901,2.9703,7.92079,7.92079,2.9703,101,40.0,14.08451
Scotland,S92000003,2011,Other vehicle drivers or riders,66.66667,0.0,0.0,0.0,0.0,33.33333,0.0,3,0.0,33.33333
Scotland,S92000003,2011,Pedestrians,63.63636,0.0,0.0,0.0,9.09091,9.09091,18.18182,11,100.0,22.22222
Scotland,S92000003,2011,Pedal cyclists,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Scotland,S92000003,2011,Motorcycle riders,86.66667,13.33333,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0
Scotland,S92000003,2011,Car drivers,84.61538,3.84615,0.0,0.0,0.0,7.69231,3.84615,26,25.0,9.09091
Scotland,S92000003,2011,Vehicle passengers,50.0,0.0,0.0,0.0,0.0,25.0,25.0,4,66.66667,0.0
England and Wales,E92000001,2010,Other vehicle drivers or riders,73.80952,9.52381,0.0,0.0,2.38095,7.14286,7.14286,42,22.22222,15.15152
England and Wales,E92000001,2010,Pedestrians,52.73973,2.73973,1.36986,2.05479,6.16438,6.84932,28.08219,146,71.18644,24.13793
England and Wales,E92000001,2010,Pedal cyclists,72.09302,6.97674,4.65116,2.32558,6.97674,2.32558,4.65116,43,71.42857,5.55556
England and Wales,E92000001,2010,Motorcycle riders,79.6748,9.7561,1.62602,0.81301,0.81301,2.84553,4.47154,246,42.85714,6.89655
England and Wales,E92000001,2010,Car drivers,71.25382,4.89297,0.61162,1.52905,6.42202,9.17431,6.11621,327,61.97183,12.5
England and Wales,E92000001,2010,Vehicle passengers,60.81081,5.40541,4.05405,8.10811,12.16216,2.7027,6.75676,74,40.74074,23.40426
Scotland,S92000003,2010,Other vehicle drivers or riders,66.66667,0.0,0.0,0.0,33.33333,0.0,0.0,3,33.33333,0.0
Scotland,S92000003,2010,Pedestrians,14.28571,0.0,0.0,0.0,28.57143,14.28571,42.85714,7,100.0,75.0
Scotland,S92000003,2010,Pedal cyclists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Scotland,S92000003,2010,Motorcycle riders,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
Scotland,S92000003,2010,Car drivers,79.16667,8.33333,0.0,0.0,0.0,4.16667,8.33333,24,0.0,13.04348
Scotland,S92000003,2010,Vehicle passengers,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0
